ncbi_gene_id,gene_symbol,pathway_sources
48,ACO1,R-HSA-389542|NADPH regeneration ; R-HSA-917937|Iron uptake and transport
49,ACR,R-HSA-1300645|Acrosome Reaction and Sperm:Oocyte Membrane Binding
50,ACO2,R-HSA-1268020|Mitochondrial protein import ; R-HSA-71403|Citric acid cycle (TCA cycle) ; R-HSA-9837999|Mitochondrial protein degradation ; R-HSA-9854311|Maturation of TCA enzymes and regulation of TCA cycle
51,ACOX1,R-HSA-1989781|PPARA activates gene expression ; R-HSA-2046106|alpha-linolenic acid (ALA) metabolism ; R-HSA-390247|Beta-oxidation of very long chain fatty acids ; R-HSA-9033241|Peroxisomal protein import ; R-HSA-9033500|TYSND1 cleaves peroxisomal proteins
54,ACP5,R-HSA-196843|Vitamin B2 (riboflavin) metabolism
55,ACP3,R-HSA-6798695|Neutrophil degranulation
58,ACTA1,R-HSA-390522|Striated Muscle Contraction ; R-HSA-9764561|Regulation of CDH1 Function ; R-HSA-9913351|Formation of the dystrophin-glycoprotein complex (DGC)
59,ACTA2,R-HSA-445355|Smooth Muscle Contraction ; R-HSA-9013695|NOTCH4 Intracellular Domain Regulates Transcription ; R-HSA-9764561|Regulation of CDH1 Function ; R-HSA-9913351|Formation of the dystrophin-glycoprotein complex (DGC) ; R-HSA-9927432|Developmental Lineage of Mammary Gland Myoepithelial Cells
60,ACTB,R-HSA-1445148|Translocation of SLC2A4 (GLUT4) to the plasma membrane ; R-HSA-190873|Gap junction degradation ; R-HSA-196025|Formation of annular gap junctions ; R-HSA-2029482|Regulation of actin dynamics for phagocytic cup formation ; R-HSA-3214847|HATs acetylate histones ; R-HSA-389957|Prefoldin mediated transfer of substrate  to CCT/TriC ; R-HSA-390450|Folding of actin by CCT/TriC ; R-HSA-3928662|EPHB-mediated forward signaling ; R-HSA-3928665|EPH-ephrin mediated repulsion of cells ; R-HSA-418990|Adherens junctions interactions ; R-HSA-437239|Recycling pathway of L1 ; R-HSA-4420097|VEGFA-VEGFR2 Pathway ; R-HSA-445095|Interaction between L1 and Ankyrins ; R-HSA-446353|Cell-extracellular matrix interactions ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5626467|RHO GTPases activate IQGAPs ; R-HSA-5663213|RHO GTPases Activate WASPs and WAVEs ; R-HSA-5663220|RHO GTPases Activate Formins ; R-HSA-5674135|MAP2K and MAPK activation ; R-HSA-5689603|UCH proteinases ; R-HSA-5696394|DNA Damage Recognition in GG-NER ; R-HSA-6802946|Signaling by moderate kinase activity BRAF mutants ; R-HSA-6802948|Signaling by high-kinase activity BRAF mutants ; R-HSA-6802952|Signaling by BRAF and RAF1 fusions ; R-HSA-6802955|Paradoxical activation of RAF signaling by kinase inactive BRAF ; R-HSA-8856828|Clathrin-mediated endocytosis ; R-HSA-9035034|RHOF GTPase cycle ; R-HSA-9649948|Signaling downstream of RAS mutants ; R-HSA-9656223|Signaling by RAF1 mutants ; R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea ; R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea ; R-HSA-9664422|FCGR3A-mediated phagocytosis ; R-HSA-9764561|Regulation of CDH1 Function ; R-HSA-9824585|Regulation of MITF-M-dependent genes involved in pigmentation ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9913351|Formation of the dystrophin-glycoprotein complex (DGC) ; R-HSA-9933937|Formation of the canonical BAF (cBAF) complex ; R-HSA-9933939|Formation of the polybromo-BAF (pBAF) complex ; R-HSA-9933946|Formation of the embryonic stem cell BAF (esBAF) complex ; R-HSA-9933947|Formation of the non-canonical BAF (ncBAF) complex ; R-HSA-9934037|Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF) ; R-HSA-9953170|GBP-mediated host defense
70,ACTC1,R-HSA-390522|Striated Muscle Contraction ; R-HSA-8980692|RHOA GTPase cycle ; R-HSA-9013026|RHOB GTPase cycle ; R-HSA-9764561|Regulation of CDH1 Function ; R-HSA-9913351|Formation of the dystrophin-glycoprotein complex (DGC)
71,ACTG1,R-HSA-1445148|Translocation of SLC2A4 (GLUT4) to the plasma membrane ; R-HSA-190873|Gap junction degradation ; R-HSA-196025|Formation of annular gap junctions ; R-HSA-2029482|Regulation of actin dynamics for phagocytic cup formation ; R-HSA-3928662|EPHB-mediated forward signaling ; R-HSA-3928665|EPH-ephrin mediated repulsion of cells ; R-HSA-418990|Adherens junctions interactions ; R-HSA-437239|Recycling pathway of L1 ; R-HSA-4420097|VEGFA-VEGFR2 Pathway ; R-HSA-445095|Interaction between L1 and Ankyrins ; R-HSA-446353|Cell-extracellular matrix interactions ; R-HSA-5626467|RHO GTPases activate IQGAPs ; R-HSA-5663213|RHO GTPases Activate WASPs and WAVEs ; R-HSA-5663220|RHO GTPases Activate Formins ; R-HSA-5674135|MAP2K and MAPK activation ; R-HSA-6802946|Signaling by moderate kinase activity BRAF mutants ; R-HSA-6802948|Signaling by high-kinase activity BRAF mutants ; R-HSA-6802952|Signaling by BRAF and RAF1 fusions ; R-HSA-6802955|Paradoxical activation of RAF signaling by kinase inactive BRAF ; R-HSA-8856828|Clathrin-mediated endocytosis ; R-HSA-9013418|RHOBTB2 GTPase cycle ; R-HSA-9649948|Signaling downstream of RAS mutants ; R-HSA-9656223|Signaling by RAF1 mutants ; R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea ; R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea ; R-HSA-9664422|FCGR3A-mediated phagocytosis ; R-HSA-9764561|Regulation of CDH1 Function ; R-HSA-9913351|Formation of the dystrophin-glycoprotein complex (DGC) ; R-HSA-9953170|GBP-mediated host defense
72,ACTG2,R-HSA-445355|Smooth Muscle Contraction ; R-HSA-9764561|Regulation of CDH1 Function ; R-HSA-9913351|Formation of the dystrophin-glycoprotein complex (DGC)
81,ACTN4,R-HSA-114608|Platelet degranulation ; R-HSA-373753|Nephrin family interactions
86,ACTL6A,R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-5689603|UCH proteinases ; R-HSA-5696394|DNA Damage Recognition in GG-NER ; R-HSA-8939243|RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known ; R-HSA-9824585|Regulation of MITF-M-dependent genes involved in pigmentation ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9933937|Formation of the canonical BAF (cBAF) complex ; R-HSA-9933939|Formation of the polybromo-BAF (pBAF) complex ; R-HSA-9933946|Formation of the embryonic stem cell BAF (esBAF) complex ; R-HSA-9933947|Formation of the non-canonical BAF (ncBAF) complex ; R-HSA-9934037|Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF)
87,ACTN1,R-HSA-114608|Platelet degranulation ; R-HSA-3000170|Syndecan interactions ; R-HSA-373753|Nephrin family interactions ; R-HSA-446388|Regulation of cytoskeletal remodeling and cell spreading by IPP complex components ; R-HSA-9013405|RHOD GTPase cycle ; R-HSA-9013418|RHOBTB2 GTPase cycle ; R-HSA-9035034|RHOF GTPase cycle
88,ACTN2,"R-HSA-114608|Platelet degranulation ; R-HSA-373753|Nephrin family interactions ; R-HSA-390522|Striated Muscle Contraction ; R-HSA-438066|Unblocking of NMDA receptors, glutamate binding and activation ; R-HSA-442982|Ras activation upon Ca2+ influx through NMDA receptor ; R-HSA-5673001|RAF/MAP kinase cascade ; R-HSA-9609736|Assembly and cell surface presentation of NMDA receptors ; R-HSA-9617324|Negative regulation of NMDA receptor-mediated neuronal transmission ; R-HSA-9620244|Long-term potentiation"
89,ACTN3,R-HSA-373753|Nephrin family interactions ; R-HSA-390522|Striated Muscle Contraction
91,ACVR1B,R-HSA-1181150|Signaling by NODAL ; R-HSA-1433617|Regulation of signaling by NODAL ; R-HSA-1502540|Signaling by Activin
92,ACVR2A,R-HSA-1181150|Signaling by NODAL ; R-HSA-1433617|Regulation of signaling by NODAL ; R-HSA-1502540|Signaling by Activin ; R-HSA-201451|Signaling by BMP ; R-HSA-9839406|TGFBR3 regulates activin signaling
93,ACVR2B,R-HSA-1181150|Signaling by NODAL ; R-HSA-1433617|Regulation of signaling by NODAL ; R-HSA-1502540|Signaling by Activin ; R-HSA-201451|Signaling by BMP
94,ACVRL1,R-HSA-201451|Signaling by BMP
95,ACY1,R-HSA-5423646|Aflatoxin activation and detoxification ; R-HSA-5579007|Defective ACY1 causes encephalopathy ; R-HSA-9753281|Paracetamol ADME
100,ADA,R-HSA-74217|Purine salvage ; R-HSA-9734735|Defective ADA disrupts (deoxy)adenosine deamination ; R-HSA-9755088|Ribavirin ADME
101,ADAM8,R-HSA-1474228|Degradation of the extracellular matrix ; R-HSA-6798695|Neutrophil degranulation
