ncbi_gene_id,gene_symbol,pathway_sources
2784,GNB3,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-381771|Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2785,GNG3,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2786,GNG4,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2787,GNG5,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2788,GNG7,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2790,GNG10,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2791,GNG11,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2792,GNGT1,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-202040|G-protein activation ; R-HSA-2485179|Activation of the phototransduction cascade ; R-HSA-2514859|Inactivation, recovery and regulation of the phototransduction cascade ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2793,GNGT2,"R-HSA-1296041|Activation of G protein gated Potassium channels ; R-HSA-202040|G-protein activation ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-392170|ADP signalling through P2Y purinoceptor 12 ; R-HSA-392451|G beta:gamma signalling through PI3Kgamma ; R-HSA-392851|Prostacyclin signalling through prostacyclin receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-4086398|Ca2+ pathway ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events ; R-HSA-418217|G beta:gamma signalling through PLC beta ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418592|ADP signalling through P2Y purinoceptor 1 ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-420092|Glucagon-type ligand receptors ; R-HSA-428930|Thromboxane signalling through TP receptor ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs) ; R-HSA-500657|Presynaptic function of Kainate receptors ; R-HSA-6814122|Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding ; R-HSA-8964315|G beta:gamma signalling through BTK ; R-HSA-8964616|G beta:gamma signalling through CDC42 ; R-HSA-9009391|Extra-nuclear estrogen signaling ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells ; R-HSA-997272|Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"
2796,GNRH1,R-HSA-375281|Hormone ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events
2797,GNRH2,R-HSA-375281|Hormone ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events
2798,GNRHR,R-HSA-375281|Hormone ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events
2799,GNS,R-HSA-2022857|Keratan sulfate degradation ; R-HSA-2206305|MPS IIID - Sanfilippo syndrome D ; R-HSA-432720|Lysosome Vesicle Biogenesis ; R-HSA-6798695|Neutrophil degranulation
2800,GOLGA1,R-HSA-6811440|Retrograde transport at the Trans-Golgi-Network
2801,GOLGA2,R-HSA-162658|Golgi Cisternae Pericentriolar Stack Reorganization ; R-HSA-204005|COPII-mediated vesicle transport ; R-HSA-6807878|COPI-mediated anterograde transport ; R-HSA-8862803|Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
2802,GOLGA3,R-HSA-9696270|RND2 GTPase cycle
2803,GOLGA4,R-HSA-6811440|Retrograde transport at the Trans-Golgi-Network ; R-HSA-9673768|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB
2804,GOLGB1,R-HSA-432722|Golgi Associated Vesicle Biogenesis ; R-HSA-6807878|COPI-mediated anterograde transport ; R-HSA-9703465|Signaling by FLT3 fusion proteins
2805,GOT1,R-HSA-1237112|Methionine salvage pathway ; R-HSA-8963693|Aspartate and asparagine metabolism ; R-HSA-9856872|Malate-aspartate shuttle
2806,GOT2,R-HSA-1614558|Degradation of cysteine and homocysteine ; R-HSA-389661|Glyoxylate metabolism and glycine degradation ; R-HSA-8963693|Aspartate and asparagine metabolism ; R-HSA-8964539|Glutamate and glutamine metabolism ; R-HSA-9856872|Malate-aspartate shuttle
2810,SFN,R-HSA-111447|Activation of BAD and translocation to mitochondria ; R-HSA-1445148|Translocation of SLC2A4 (GLUT4) to the plasma membrane ; R-HSA-5625740|RHO GTPases activate PKNs ; R-HSA-5628897|TP53 Regulates Metabolic Genes ; R-HSA-6804114|TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest ; R-HSA-75035|Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex ; R-HSA-9614399|Regulation of localization of FOXO transcription factors ; R-HSA-9735871|SARS-CoV-1 targets host intracellular signalling and regulatory pathways ; R-HSA-9755779|SARS-CoV-2 targets host intracellular signalling and regulatory pathways ; R-HSA-9968551|Regulation of GBP-mediated host defense
2811,GP1BA,R-HSA-140837|Intrinsic Pathway of Fibrin Clot Formation ; R-HSA-430116|GP1b-IX-V activation signalling ; R-HSA-75892|Platelet Adhesion to exposed collagen ; R-HSA-76009|Platelet Aggregation (Plug Formation) ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-9673221|Defective F9 activation ; R-HSA-9845620|Enhanced binding of GP1BA variant to VWF multimer:collagen ; R-HSA-9846298|Defective binding of VWF variant to GPIb:IX:V
2812,GP1BB,R-HSA-140837|Intrinsic Pathway of Fibrin Clot Formation ; R-HSA-430116|GP1b-IX-V activation signalling ; R-HSA-75892|Platelet Adhesion to exposed collagen ; R-HSA-76009|Platelet Aggregation (Plug Formation) ; R-HSA-9673221|Defective F9 activation ; R-HSA-9845620|Enhanced binding of GP1BA variant to VWF multimer:collagen ; R-HSA-9846298|Defective binding of VWF variant to GPIb:IX:V
2813,GP2,R-HSA-163125|Post-translational modification: synthesis of GPI-anchored proteins ; R-HSA-9925561|Developmental Lineage of Pancreatic Acinar Cells
2814,GP5,R-HSA-140837|Intrinsic Pathway of Fibrin Clot Formation ; R-HSA-430116|GP1b-IX-V activation signalling ; R-HSA-75892|Platelet Adhesion to exposed collagen ; R-HSA-76009|Platelet Aggregation (Plug Formation) ; R-HSA-9673221|Defective F9 activation ; R-HSA-9845620|Enhanced binding of GP1BA variant to VWF multimer:collagen ; R-HSA-9846298|Defective binding of VWF variant to GPIb:IX:V
2815,GP9,R-HSA-140837|Intrinsic Pathway of Fibrin Clot Formation ; R-HSA-430116|GP1b-IX-V activation signalling ; R-HSA-75892|Platelet Adhesion to exposed collagen ; R-HSA-76009|Platelet Aggregation (Plug Formation) ; R-HSA-9673221|Defective F9 activation ; R-HSA-9845620|Enhanced binding of GP1BA variant to VWF multimer:collagen ; R-HSA-9846298|Defective binding of VWF variant to GPIb:IX:V
2817,GPC1,"R-HSA-1971475|Glycosaminoglycan-protein linkage region biosynthesis ; R-HSA-2022928|HS-GAG biosynthesis ; R-HSA-2024096|HS-GAG degradation ; R-HSA-202733|Cell surface interactions at the vascular wall ; R-HSA-3560783|Defective B4GALT7 causes EDS, progeroid type ; R-HSA-3560801|Defective B3GAT3 causes JDSSDHD ; R-HSA-3656237|Defective EXT2 causes exostoses 2 ; R-HSA-3656253|Defective EXT1 causes exostoses 1, TRPS2 and CHDS ; R-HSA-376176|Signaling by ROBO receptors ; R-HSA-4420332|Defective B3GALT6 causes EDSP2 and SEMDJL1 ; R-HSA-9694614|Attachment and Entry ; R-HSA-975634|Retinoid metabolism and transport ; R-HSA-9820960|Respiratory syncytial virus (RSV) attachment and entry ; R-HSA-9833110|RSV-host interactions ; R-HSA-9918481|Dengue Virus-Host Interactions ; R-HSA-9918485|Dengue Virus Attachment and Entry"
2819,GPD1,R-HSA-1483166|Synthesis of PA
2820,GPD2,R-HSA-1483166|Synthesis of PA ; R-HSA-163560|Triglyceride catabolism
2821,GPI,R-HSA-5628897|TP53 Regulates Metabolic Genes ; R-HSA-6798695|Neutrophil degranulation ; R-HSA-70171|Glycolysis ; R-HSA-70263|Gluconeogenesis
2822,GPLD1,R-HSA-163125|Post-translational modification: synthesis of GPI-anchored proteins
2826,CCR10,R-HSA-380108|Chemokine receptors bind chemokines ; R-HSA-418594|G alpha (i) signalling events
2828,GPR4,R-HSA-373076|Class A/1 (Rhodopsin-like receptors) ; R-HSA-416476|G alpha (q) signalling events
2829,XCR1,R-HSA-380108|Chemokine receptors bind chemokines ; R-HSA-416476|G alpha (q) signalling events
2831,NPBWR1,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-418594|G alpha (i) signalling events
2832,NPBWR2,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-418594|G alpha (i) signalling events
2833,CXCR3,R-HSA-380108|Chemokine receptors bind chemokines ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-9942503|Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells)
2834,PRLHR,R-HSA-375276|Peptide ligand-binding receptors
2837,UTS2R,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events
2838,GPR15,R-HSA-418555|G alpha (s) signalling events
2840,GPR17,R-HSA-391906|Leukotriene receptors ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-417957|P2Y receptors ; R-HSA-418594|G alpha (i) signalling events
2841,GPR18,R-HSA-373076|Class A/1 (Rhodopsin-like receptors) ; R-HSA-418594|G alpha (i) signalling events
2843,GPR20,R-HSA-418555|G alpha (s) signalling events
2846,LPAR4,R-HSA-416476|G alpha (q) signalling events ; R-HSA-417957|P2Y receptors
2847,MCHR1,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-5620922|BBSome-mediated cargo-targeting to cilium
2848,GPR25,R-HSA-418555|G alpha (s) signalling events
2850,GPR27,R-HSA-418555|G alpha (s) signalling events
2852,GPER1,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-9634597|GPER1 signaling
2853,GPR31,R-HSA-418594|G alpha (i) signalling events ; R-HSA-444209|Free fatty acid receptors
2854,GPR32,R-HSA-418555|G alpha (s) signalling events
2859,GPR35,R-HSA-373076|Class A/1 (Rhodopsin-like receptors)
2861,GPR37,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-418594|G alpha (i) signalling events
2862,MLNR,R-HSA-375276|Peptide ligand-binding receptors ; R-HSA-416476|G alpha (q) signalling events
2863,GPR39,R-HSA-373076|Class A/1 (Rhodopsin-like receptors) ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-418555|G alpha (s) signalling events
2864,FFAR1,"R-HSA-381771|Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) ; R-HSA-400511|Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP) ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-434316|Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion ; R-HSA-444209|Free fatty acid receptors"
2865,FFAR3,R-HSA-416476|G alpha (q) signalling events ; R-HSA-444209|Free fatty acid receptors
2867,FFAR2,R-HSA-416476|G alpha (q) signalling events ; R-HSA-444209|Free fatty acid receptors
2868,GRK4,"R-HSA-2514859|Inactivation, recovery and regulation of the phototransduction cascade"
2869,GRK5,R-HSA-416476|G alpha (q) signalling events ; R-HSA-418555|G alpha (s) signalling events
2870,GRK6,R-HSA-418555|G alpha (s) signalling events
2873,GPS1,R-HSA-5696394|DNA Damage Recognition in GG-NER ; R-HSA-6781823|Formation of TC-NER Pre-Incision Complex ; R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis ; R-HSA-8951664|Neddylation ; R-HSA-9013422|RHOBTB1 GTPase cycle
2874,GPS2,R-HSA-1989781|PPARA activates gene expression ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-9022537|Loss of MECP2 binding ability to the NCoR/SMRT complex ; R-HSA-9022692|Regulation of MECP2 expression and activity ; R-HSA-9029569|NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux ; R-HSA-9609690|HCMV Early Events ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
2875,GPT,R-HSA-70268|Pyruvate metabolism ; R-HSA-8964540|Alanine metabolism
2876,GPX1,R-HSA-2142688|Synthesis of 5-eicosatetraenoic acids ; R-HSA-2142712|Synthesis of 12-eicosatetraenoic acid derivatives ; R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives ; R-HSA-3299685|Detoxification of Reactive Oxygen Species
2877,GPX2,R-HSA-2142688|Synthesis of 5-eicosatetraenoic acids ; R-HSA-2142712|Synthesis of 12-eicosatetraenoic acid derivatives ; R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives ; R-HSA-3299685|Detoxification of Reactive Oxygen Species ; R-HSA-5628897|TP53 Regulates Metabolic Genes
2878,GPX3,R-HSA-3299685|Detoxification of Reactive Oxygen Species
2879,GPX4,R-HSA-2142688|Synthesis of 5-eicosatetraenoic acids ; R-HSA-2142712|Synthesis of 12-eicosatetraenoic acid derivatives ; R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives ; R-HSA-9018676|Biosynthesis of D-series resolvins ; R-HSA-9018896|Biosynthesis of E-series 18(S)-resolvins ; R-HSA-9020265|Biosynthesis of aspirin-triggered D-series resolvins ; R-HSA-9023661|Biosynthesis of E-series 18(R)-resolvins
2880,GPX5,R-HSA-3299685|Detoxification of Reactive Oxygen Species
2882,GPX7,R-HSA-3299685|Detoxification of Reactive Oxygen Species
